title,url,score
红辣椒,https://movie.douban.com/subject/1865703/,9.0
剪刀手爱德华,https://movie.douban.com/subject/1292370/,8.7
狩猎,https://movie.douban.com/subject/6985810/,9.1
请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,8.9
勇敢的心,https://movie.douban.com/subject/1294639/,8.9
7号房的礼物,https://movie.douban.com/subject/10777687/,8.9
功夫,https://movie.douban.com/subject/1291543/,8.7
何以为家,https://movie.douban.com/subject/30170448/,9.1
摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,9.0
哈尔的移动城堡,https://movie.douban.com/subject/1308807/,9.1
十二怒汉,https://movie.douban.com/subject/1293182/,9.4
我不是药神,https://movie.douban.com/subject/26752088/,9.0
少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,9.1
鬼子来了,https://movie.douban.com/subject/1291858/,9.3
大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,9.0
天空之城,https://movie.douban.com/subject/1291583/,9.1
天堂电影院,https://movie.douban.com/subject/1291828/,9.2
猫鼠游戏,https://movie.douban.com/subject/1305487/,9.1
闻香识女人,https://movie.douban.com/subject/1298624/,9.1
指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,9.2
罗马假日,https://movie.douban.com/subject/1293839/,9.1
钢琴家,https://movie.douban.com/subject/1296736/,9.2
窃听风暴,https://movie.douban.com/subject/1900841/,9.2
本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,9.0
情书,https://movie.douban.com/subject/1292220/,8.9
两杆大烟枪,https://movie.douban.com/subject/1293350/,9.1
穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,9.1
西西里的美丽传说,https://movie.douban.com/subject/1292402/,8.9
看不见的客人,https://movie.douban.com/subject/26580232/,8.8
飞越疯人院,https://movie.douban.com/subject/1292224/,9.1
拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,9.0
音乐之声,https://movie.douban.com/subject/1294408/,9.1
小鞋子,https://movie.douban.com/subject/1303021/,9.2
阿凡达,https://movie.douban.com/subject/1652587/,8.8
一一,https://movie.douban.com/subject/1292434/,9.1
蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,8.8
菊次郎的夏天,https://movie.douban.com/subject/1293359/,8.8
消失的爱人,https://movie.douban.com/subject/21318488/,8.7
哈利·波特与密室,https://movie.douban.com/subject/1296996/,8.8
超能陆战队,https://movie.douban.com/subject/11026735/,8.7
无人知晓,https://movie.douban.com/subject/1292337/,9.1
小森林 冬春篇,https://movie.douban.com/subject/25814707/,9.0
完美的世界,https://movie.douban.com/subject/1300992/,9.1
倩女幽魂,https://movie.douban.com/subject/1297447/,8.7
爱在日落黄昏时,https://movie.douban.com/subject/1291990/,8.9
侧耳倾听,https://movie.douban.com/subject/1297052/,8.9
借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,8.9
燃情岁月,https://movie.douban.com/subject/1295865/,8.8
千钧一发,https://movie.douban.com/subject/1300117/,8.8
黑客帝国2：重装上阵,https://movie.douban.com/subject/1304141/,8.6
谍影重重2,https://movie.douban.com/subject/1308767/,8.7
海洋,https://movie.douban.com/subject/3443389/,9.1
崖上的波妞,https://movie.douban.com/subject/1959877/, / 悬崖上的金鱼姬  /  悬崖上的金鱼公主
背靠背，脸对脸,https://movie.douban.com/subject/1307856/,[可播放]
阿飞正传,https://movie.douban.com/subject/1305690/,8.5
穿越时空的少女,https://movie.douban.com/subject/1937946/,8.6
谍影重重,https://movie.douban.com/subject/1304102/,8.6
小丑,https://movie.douban.com/subject/27119724/, / 小丑起源电影：罗密欧  /  Romeo
地球上的星星,https://movie.douban.com/subject/2363506/,8.9
香水,https://movie.douban.com/subject/1760622/,8.5
完美陌生人,https://movie.douban.com/subject/26614893/,8.5
再次出发之纽约遇见你,https://movie.douban.com/subject/6874403/,8.6
我爱你,https://movie.douban.com/subject/5908478/,9.1
爱乐之城,https://movie.douban.com/subject/25934014/,[可播放]
朗读者,https://movie.douban.com/subject/2213597/,8.6
火星救援,https://movie.douban.com/subject/25864085/,[可播放]
驴得水,https://movie.douban.com/subject/25921812/,8.3
聚焦,https://movie.douban.com/subject/25954475/,8.8
小萝莉的猴神大叔,https://movie.douban.com/subject/26393561/,8.4
浪潮,https://movie.douban.com/subject/2297265/,8.7
猜火车,https://movie.douban.com/subject/1292528/,8.6
千年女优,https://movie.douban.com/subject/1307394/,8.8
